,Event_ID,Crime type,Crime Code,City,City Code,Date of crime
1,191223456775,BURGLARY - RESIDENCE,1,MIAMI LAKE,19,43467
2,1910200079130,THEFT - ALL OTHER,2,METRO MIAMI-DADE,16,43552
3,1910040074975,THEFT - FROM BUILDING,2,WEST MIAMI,23,43590
4,1910050075195,ROBBERY - STRONG ARM,3,GOLDEN BEACH,10,43640
5,1910130077275,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2,BISCAYNE GARDENS,7,43669
6,1910060075381,BURGLARY / STRUCTURE - ARMED-BECOMES ARMED WITH DANGEROUS WEAPON,1,OPA LOCKA,21,43671
7,1910070075633,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1,HIALEAH GARDENS,11,43672
8,200107008133,CRIMINAL MISCHIEF / VANDALISM,0,COASTAL MIAMI,8,43679
9,1910100076498,ROBBERY - STRONG ARM,3,MEDLEY,15,43683
10,1910110076918,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2,COASTAL MIAMI,8,43689
11,1910040074808,BURGLARY - RESIDENCE,1,INLAND MIAMI,13,43697
12,1910050075272,THEFT - ALL OTHER,2,INLAND MIAMI,13,43717
13,1910060075333,BURGLARY - RESIDENCE,1,MIAMI BEACH,18,43740
14,1910140077576,BURGLARY,1,OPA LOCKA,21,43747
15,1910140077501,THEFT - ALL OTHER,2,OPA LOCKA,21,43747
16,1910080075851,THEFT - ALL OTHER,2,CORAL GABLES,9,43748
17,1910210079459,ROBBERY - STRONG ARM,3,GOLDEN BEACH,10,43748
18,1910070075552,THEFT - ALL OTHER,2,GOLDEN BEACH,10,43749
19,191012365466,GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,2,NORTH MIAMI,20,43750
20,1910150077706,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2,COASTAL MIAMI,8,43751
21,1910230080040,THEFT - SHOPLIFTING,2,NORTH MIAMI,20,43751
22,1910210079298,BURGLARY,1,HOMESTEAD,12,43752
23,1910230080068,PETIT THEFT - RETAIL / LESS THAN $100,2,HOMESTEAD,12,43752
24,1910180078693,BURGLARY,1,MIAMI,17,43753
25,1910150077848,RETAIL THEFT,2,MIAMI,17,43753
26,1910180078666,BURGLARY,1,TAMIAMI TRAIL,22,43754
27,1910180078618,BURGLARY,1,TAMIAMI TRAIL,22,43755
28,1910220079605,GRAND THEFT,2,TAMIAMI TRAIL,22,43755
29,1910210079327,BURGLARY,1,MIAMI,17,43756
30,1910240080200,PETIT THEFT,2,MIAMI,17,43756
31,191126422509,RETAIL THEFT OVER $300,2,TAMIAMI TRAIL,22,43757
32,1910080075909,CRIMINAL MISCHIEF / VANDALISM,0,BISCAYNE GARDENS,7,43758
33,1910040074782,BURGLARY,1,NORTH MIAMI,20,43758
34,1910120077010,CRIMINAL MISCHIEF / VANDALISM,0,KEY BISCAYNE,14,43759
35,1910120077086,THEFT - ALL OTHER,2,MIAMI,17,43759
36,1910110076746,CRIMINAL MISCHIEF / VANDALISM,0,MIAMI,17,43760
37,1910110076840,RETAIL THEFT,2,MIAMI,17,43760
38,1910090076229,BURGLARY,1,MIAMI,17,43761
39,1910090076214,PETIT THEFT,2,MIAMI,17,43761
40,1910180078512,BURGLARY - RESIDENCE,1,MIAMI,17,43762
41,1910050075035,PETIT THEFT - RETAIL / LESS THAN $100,2,MIAMI,17,43762
42,1910160078115,BURGLARY - RESIDENCE,1,MIAMI,17,43763
43,1910190078909,RETAIL THEFT,2,NORTH MIAMI,20,43763
44,1910020074295,THEFT/LARCENY,2,MIAMI,17,43788
45,191110402702,THEFT/LARCENY,2,COASTAL MIAMI,8,43825
